year,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf
2013,France,Amandine Bourgeois,L'enfer Et Moi,23,,1,,23,14,,,,,,
2013,Finland,Krista Siegfrids,Marry Me,24,2,4,5,24,13,9,64,,,,
2013,Spain,ESDM,Contigo Hasta El Final (With You Until The End),25,,5,,25,8,,,,,,
2013,Ireland,Ryan Dolan,Only Love Survives,26,1,26,13,26,5,8,54,,,,
2013,Serbia,Moje 3,Ljubav Je Svuda,27,1,,16,,,11,46,,,,
2013,San Marino,Valentina Monetta,Crisalide (Vola),28,2,,2,,,11,47,,,,
2013,Bulgaria,"Elitsa Todorova, Stoyan Yankulov",Samo Shampioni,29,2,,7,,,12,45,,,,
2013,Montenegro,Who See,Igranka,30,1,,9,,,12,41,,,,
2013,Switzerland,Takasa,You And Me,31,2,,16,,,13,41,,,,
2013,Croatia,Klapa s mora,Mižerja,32,1,,4,,,13,38,,,,
2013,Israel,Moran Mazor,Rak Bishvilo,33,2,,10,,,14,40,,,,
2013,Albania,Adrian Lulgjuraj & Bledar Sejko,Identitet,34,2,,14,,,15,31,,,,
2013,Austria,Natália Kelly,Shine,35,1,,1,,,14,27,,,,
2013,North Macedonia,Esma & Lozano,Pred Da Se Razdeni,36,2,,3,,,16,28,,,,
2013,Latvia,PeR,Here We Go,37,2,,1,,,17,13,,,,
2013,Cyprus,Despina Olympiou,An Me Thimasai,38,1,,14,,,15,11,,,,
2013,Slovenia,Hannah,Straight Into Love,39,1,,3,,,16,8,,,,
2014,Austria,Conchita Wurst,Rise Like a Phoenix,1,2,11,6,1,290,1,169,,,,
2014,Netherlands,The Common Linnets,Calm After The Storm,2,1,24,14,2,238,1,150,,,,
2014,Sweden,Sanna Nielsen,Undo,3,1,13,4,3,218,2,131,,,,
2014,Armenia,Aram MP3,Not Alone,4,1,7,1,4,174,4,121,,,,
2014,Hungary,András Kállay-Saunders,Running,5,1,21,16,5,143,3,127,,,,
2014,Ukraine,Mariya Yaremchuk,Tick - Tock,6,1,1,9,6,113,5,118,,,,
2014,Russia,Tolmachevy Sisters,Shine,7,1,15,7,7,89,6,63,,,,
2014,Norway,Carl Espen,Silent Storm,8,2,5,3,8,88,6,77,,,,
2014,Denmark,Basim,Cliche Love Song,9,,23,,9,74,,,,,,
2014,Spain,Ruth Lorenzo,Dancing in the rain,10,,19,,10,74,,,,,,
2014,Finland,Softengine,Something Better,11,2,18,8,11,72,3,97,,,,
2014,Romania,Paula Seling & OVI,Miracle,12,2,6,15,12,72,2,125,,,,
2014,Switzerland,Sebalter,Hunter Of Stars,13,2,20,12,13,64,4,92,,,,
2014,Poland,Donatan & Cleo,My Słowianie - We Are Slavic,14,2,9,5,14,62,8,70,,,,
2014,Iceland,Pollapönk,No Prejudice,15,1,4,5,15,58,8,61,,,,
2014,Belarus,Teo,Cheesecake,16,2,2,10,16,43,5,87,,,,
2014,United Kingdom,Molly,Children of the Universe,17,,26,,17,40,,,,,,
2014,Germany,Elaiza,Is It Right,18,,12,,18,39,,,,,,
2014,Montenegro,Sergej Ćetković,Moj Svijet,19,1,8,15,19,37,7,63,,,,
2014,Greece,Freaky Fortune feat. RiskyKidd,Rise Up,20,2,10,13,20,35,7,74,,,,
2014,Italy,Emma,La Mia Città,21,,16,,21,33,,,,,,
2014,Azerbaijan,Dilara Kazimova,Start A Fire,22,1,3,8,22,33,9,57,,,,
2014,Malta,Firelight,Coming Home,23,2,22,1,23,32,9,63,,,,
2014,San Marino,Valentina Monetta,Maybe (Forse),24,1,25,12,24,14,10,40,,,,
2014,Slovenia,Tinkara Kovač,Round and Round,25,2,17,14,25,9,10,52,,,,
2014,France,TWIN TWIN,Moustache,26,,14,,26,2,,,,,,
2014,Portugal,Suzy,Quero Ser Tua,27,1,,13,,,11,39,,,,
2014,Lithuania,Vilija Matačiūnaitė,Attention,28,2,,7,,,11,36,,,,
2014,Ireland,Can-Linn feat. Kasey Smith,Heartbeat,29,2,,9,,,12,35,,,,
2014,Estonia,Tanja,Amazing,30,1,,3,,,12,36,,,,
2014,North Macedonia,Tijana,To the Sky,31,2,,11,,,13,33,,,,
2014,Latvia,Aarzemnieki,Cake To Bake,32,1,,2,,,13,33,,,,
2014,Belgium,Axel Hirsoux,Mother,33,1,,10,,,14,28,,,,
2014,Albania,Hersi,One Night's Anger,34,1,,6,,,15,22,,,,
2014,Israel,Mei Finegold,Same Heart,35,2,,2,,,14,19,,,,
2014,Georgia,The Shin and Mariko,Three Minutes To Earth,36,2,,4,,,15,15,,,,
2014,Moldova,Cristina Scarlat,Wild Soul,37,1,,11,,,16,13,,,,
2015,Sweden,Måns Zelmerlöw,Heroes,1,2,10,13,1,365,1,217,,,,
2015,Russia,Polina Gagarina,A Million Voices,2,1,25,12,2,303,1,182,,,,
2015,Italy,Il Volo,Grande Amore,3,,27,,3,292,,,,,,
2015,Belgium,Loïc Nottet,Rhythm Inside,4,1,13,3,4,217,2,149,,,,
2015,Australia,Guy Sebastian,Tonight Again,5,,12,,5,196,,,,,,
2015,Latvia,Aminata Savadogo,Love Injected,6,2,19,10,6,186,2,155,,,,
2015,Estonia,Elina Born & Stig Rästa,Goodbye to Yesterday,7,1,4,7,7,106,3,105,,,,
2015,Norway,Mørland & Debrah Scarlett,A Monster Like Me,8,2,9,6,8,102,4,123,,,,
2015,Israel,Nadav Guedj,Golden Boy,9,2,3,9,9,97,3,151,,,,
2015,Serbia,Bojana Stamenov,Beauty Never Lies,10,1,8,9,10,53,9,63,,,,
2015,Georgia,Nina Sublatti,Warrior,11,1,23,16,11,51,4,98,,,,
2015,Azerbaijan,Elnur Hüseynov,Hour Of The Wolf,12,2,24,11,12,49,10,53,,,,
2015,Montenegro,Knez,Adio,13,2,16,4,13,44,9,57,,,,
2015,Slovenia,Maraaya,Here for You,14,2,1,16,14,39,5,92,,,,
2015,Romania,Voltaj,De La Capăt / All Over Again,15,1,20,15,15,35,5,89,,,,
2015,Armenia,Genealogy,Face The Shadow,16,1,6,2,16,34,7,77,,,,
2015,Albania,Elhaida Dani,I'm Alive,17,1,26,14,17,34,10,62,,,,
2015,Lithuania,Monika & Vaidas,This Time,18,2,7,1,18,30,7,67,,,,
2015,Greece,Maria Elena Kyriakou,One Last Breath,19,1,15,6,19,23,6,81,,,,
2015,Hungary,Boggie,Wars For Nothing,20,1,22,10,20,19,8,67,,,,
2015,Spain,Edurne,Amanecer,21,,21,,21,15,,,,,,
2015,Cyprus,John Karayiannis,One Thing I Should Have Done,22,2,11,15,22,11,6,87,,,,
2015,Poland,Monika Kuszyńska,In The Name Of Love,23,2,18,17,23,10,8,57,,,,
2015,United Kingdom,Electro Velvet,Still in Love with You,24,,5,,24,5,,,,,,
2015,France,Lisa Angell,N’oubliez pas,25,,2,,25,4,,,,,,
2015,Austria,The Makemakes,I Am Yours,26,,14,,26,0,,,,,,
2015,Germany,Ann Sophie,Black Smoke,27,,17,,27,0,,,,,,
2015,Moldova,Eduard Romanyuta,I Want Your Love,28,1,,1,,,11,41,,,,
2015,Malta,Amber,Warrior,29,2,,5,,,11,43,,,,
2015,Belarus,Uzari & Maimuna,Time,30,1,,11,,,12,39,,,,
2015,Ireland,Molly Sterling,Playing With Numbers,31,2,,2,,,12,35,,,,
2015,Denmark,Anti Social Media,The Way You Are,32,1,,13,,,13,33,,,,
2015,Netherlands,Trijntje Oosterhuis,Walk Along,33,1,,4,,,14,33,,,,
2015,Czech Republic,Marta Jandová & Václav Noid Bárta,Hope Never Dies,34,2,,8,,,13,33,,,,
2015,North Macedonia,Daniel Kajmakoski,Autumn Leaves,35,1,,8,,,15,28,,,,
2015,Portugal,Leonor Andrade,Há um mar que nos Separa,36,2,,7,,,14,19,,,,
2015,Iceland,María Ólafsdóttir,Unbroken,37,2,,12,,,15,14,,,,
2015,Finland,Pertti Kurikan Nimipäivät,Aina Mun Pitää,38,1,,5,,,16,13,,,,
2015,San Marino,Michele Perniola & Anita Simoncini,Chain Of Lights,39,2,,3,,,16,11,,,,
2015,Switzerland,Mélanie René,Time To Shine,40,2,,14,,,17,4,,,,
2016,Ukraine,Jamala,1944,1,2,21,14,1,534,2,287,323,211,152,135
2016,Australia,Dami Im,Sound of Silence,2,2,13,10,2,511,1,330,191,320,142,188
2016,Russia,Sergey Lazarev,You Are the Only One,3,1,18,9,3,491,1,342,361,130,194,148
2016,Bulgaria,Poli Genova,If Love Was a Crime,4,2,8,12,4,307,5,220,180,127,122,98
2016,Sweden,Frans,If I Were Sorry,5,,9,,5,261,,,139,122,,
2016,France,Amir,J'ai Cherché,6,,11,,6,257,,,109,148,,
2016,Armenia,Iveta Mukuchyan,LoveWave,7,1,26,7,7,249,2,243,134,115,116,127
2016,Poland,Michał Szpak,Color of Your Life,8,2,12,2,8,229,6,151,222,7,131,20
2016,Lithuania,Donny Montell,I've Been Waiting for This Night,9,2,16,9,9,200,4,222,96,104,118,104
2016,Belgium,Laura Tesoro,What's the Pressure,10,2,1,18,10,181,3,274,51,130,135,139
2016,Netherlands,Douwe Bob,Slow Down,11,1,3,6,11,153,5,197,39,114,95,102
2016,Malta,Ira Losco,Walk on Water,12,1,22,18,12,153,3,209,16,137,54,155
2016,Austria,Zoë,Loin d'ici,13,1,24,12,13,151,7,170,120,31,133,37
2016,Israel,Hovi Star,Made of Stars,14,2,7,4,14,135,7,147,11,124,20,127
2016,Latvia,Justs,Heartbeat,15,2,20,1,15,132,8,132,63,69,68,64
2016,Italy,Francesca Michielin,No Degree of Separation,16,,6,,16,124,,,34,90,,
2016,Azerbaijan,Samra,Miracle,17,1,4,14,17,117,6,185,73,44,93,92
2016,Serbia,Sanja Vučić ZAA,Goodbye (Shelter),18,2,15,6,18,115,10,105,80,35,50,55
2016,Hungary,Freddie,Pioneer,19,1,5,4,19,108,4,197,56,52,119,78
2016,Georgia,Nika Kocharov & Young Georgian Lolitaz,Midnight Gold,20,2,23,16,20,104,9,123,24,80,39,84
2016,Cyprus,Minus One,Alter Ego,21,1,14,11,21,96,8,164,53,43,93,71
2016,Spain,Barei,Say Yay!,22,,19,,22,77,,,10,67,,
2016,Croatia,Nina Kraljić,Lighthouse,23,1,17,5,23,73,10,133,33,40,53,80
2016,United Kingdom,Joe & Jake,You're Not Alone,24,,25,,24,62,,,8,54,,
2016,Czech Republic,Gabriela Gunčíková,I Stand,25,1,2,10,25,41,9,161,0,41,41,120
2016,Germany,Jamie-Lee Kriewitz,Ghost,26,,10,,26,11,,,10,1,,
2016,Bosnia & Herzegovina,Dalal & Deen feat. Ana Rucner & Jala,Ljubav Je,27,1,,17,,,11,104,,,78,26
2016,North Macedonia,Kaliopi,Dona,28,2,,8,,,11,88,,,54,34
2016,Belarus,Ivan,Help You Fly,29,2,,5,,,12,84,,,52,32
2016,San Marino,Serhat,I Didn't Know,30,1,,8,,,12,68,,,49,19
2016,Norway,Agnete,Icebreaker,31,2,,15,,,13,63,,,34,29
2016,Montenegro,Highway,The Real Thing,32,1,,15,,,13,60,,,14,46
2016,Slovenia,ManuElla,Blue and Red,33,2,,11,,,14,57,,,8,49
2016,Iceland,Greta Salóme,Hear Them Calling,34,1,,16,,,14,51,,,24,27
2016,Finland,Sandhja,Sing It Away,35,1,,1,,,15,51,,,16,35
2016,Ireland,Nicky Byrne,Sunlight,36,2,,7,,,15,46,,,31,15
2016,Albania,Eneda Tarifa,Fairytale,37,2,,17,,,16,45,,,35,10
2016,Greece,Argo,Utopian Land,38,1,,2,,,16,44,,,22,22
2016,Denmark,Lighthouse X,Soldiers of Love,39,2,,13,,,17,34,,,24,10
2016,Moldova,Lidia Isac,Falling Stars,40,1,,3,,,17,33,,,9,24
2016,Switzerland,Rykka,The Last of Our Kind,41,2,,3,,,18,28,,,3,25
2016,Estonia,Jüri Pootsmann,Play,42,1,,13,,,18,24,,,15,9
2017,Portugal,Salvador Sobral,Amar Pelos Dois,1,1,11,9,1,758,1,370,376,382,197,173
2017,Bulgaria,Kristian Kostov,Beautiful Mess,2,2,25,15,2,615,1,403,337,278,204,199
2017,Moldova,Sunstroke Project,Hey Mamma,3,1,7,12,3,374,2,291,264,110,180,111
2017,Belgium,Blanche,City Lights,4,1,23,5,4,363,4,165,255,108,125,40
2017,Sweden,Robin Bengtsson,I Can't Go On,5,1,24,1,5,344,3,227,126,218,103,124
2017,Italy,Francesco Gabbani,Occidentali's Karma,6,,9,,6,334,,,208,126,,
2017,Romania,Ilinca feat. Alex Florea,Yodel It!,7,2,20,5,7,282,6,174,224,58,148,26
2017,Hungary,Joci Pápai,Origo,8,2,8,7,8,200,2,231,152,48,165,66
2017,Australia,Isaiah Firebrace,Don't Come Easy,9,1,14,3,9,173,6,160,2,171,21,139
2017,Norway,Jowst,Grab the Moment,10,2,17,12,10,158,5,189,29,129,52,137
2017,Netherlands,OG3NE,Lights And Shadows,11,2,6,6,11,150,4,200,15,135,51,149
2017,France,Alma,Requiem,12,,26,,12,135,,,90,45,,
2017,Croatia,Jacques Houdek,My Friend,13,2,13,11,13,128,8,141,103,25,104,37
2017,Azerbaijan,Dihaj,Skeletons,14,1,12,8,14,120,8,150,42,78,63,87
2017,United Kingdom,Lucie Jones,Never Give Up on You,15,,18,,15,111,,,12,99,,
2017,Austria,Nathan Trent,Running On Air,16,2,4,2,16,93,7,147,0,93,32,115
2017,Belarus,Naviband,Historyja Majho Zyccia,17,2,3,14,17,83,9,110,33,50,55,55
2017,Armenia,Artsvik,Fly With Me,18,1,5,16,18,79,7,152,21,58,65,87
2017,Greece,Demy,This is Love,19,1,15,10,19,77,10,115,29,48,54,61
2017,Denmark,Anja,Where I Am,20,2,10,8,20,77,10,101,8,69,5,96
2017,Cyprus,Hovig,Gravity,21,1,19,15,21,68,5,164,32,36,103,61
2017,Poland,Kasia Moś,Flashlight,22,1,2,11,22,64,9,119,41,23,69,50
2017,Israel,Imri Ziv,I Feel Alive,23,2,1,18,23,39,3,207,5,34,132,75
2017,Ukraine,O.Torvald,Time,24,,22,,24,36,,,24,12,,
2017,Germany,Levina,Perfect Life,25,,21,,25,6,,,3,3,,
2017,Spain,Manel Navarro,Do It for Your Lover,26,,16,,26,5,,,5,0,,
2017,Georgia,Tamara Gachechiladze,Keep The Faith,27,1,,2,,,11,99,,,37,62
2017,Serbia,Tijana Bogićević,In Too Deep,28,2,,1,,,11,98,,,45,53
2017,Switzerland,Timebelle,Apollo,29,2,,13,,,12,97,,,49,48
2017,Finland,Norma John,Blackbird,30,1,,7,,,12,92,,,51,41
2017,Ireland,Brendan Murray,Dying To Try,31,2,,9,,,13,86,,,41,45
2017,Estonia,Koit Toome & Laura,Verona,32,2,,17,,,14,85,,,69,16
2017,Czech Republic,Martina Bárta,My Turn,33,1,,14,,,13,83,,,2,81
2017,Albania,Lindita,World,34,1,,4,,,14,76,,,38,38
2017,North Macedonia,Jana Burčeska,Dance Alone,35,2,,3,,,15,69,,,40,29
2017,Iceland,Svala,Paper,36,1,,13,,,15,60,,,31,29
2017,Montenegro,Slavko Kalezić,Space,37,1,,6,,,16,56,,,39,17
2017,Malta,Claudia Faniello,Breathlessly,38,2,,4,,,16,55,,,0,55
2017,Lithuania,Fusedmarc,Rain Of Revolution,39,2,,16,,,17,42,,,25,17
2017,Slovenia,Omar Naber,On My Way,40,1,,17,,,17,36,,,20,16
2017,Latvia,Triana Park,Line,41,1,,18,,,18,21,,,20,1
2017,San Marino,Valentina Monetta & Jimmie Wilson,Spirit Of The Night,42,2,,10,,,18,1,,,1,0
2018,Israel,Netta Barzilai,Toy,1,1,22,7,1,529,1,283,317,212,116,167
2018,Cyprus,Eleni Foureira,Fuego,2,1,25,19,2,436,2,262,253,183,173,89
2018,Austria,Cesár Sampson,Nobody But You,3,1,5,13,3,342,4,231,71,271,116,115
2018,Germany,Michael Schulte,You Let Me Walk Alone,4,,11,,4,340,,,136,204,,
2018,Italy,Ermal Meta & Fabrizio Moro,Non Mi Avete Fatto Niente,5,,26,,5,308,,,249,59,,
2018,Czech Republic,Mikolas Josef,Lie To Me,6,1,14,5,6,281,3,232,215,66,134,98
2018,Sweden,Benjamin Ingrosso,Dance You Off,7,2,20,15,7,274,2,254,21,253,83,171
2018,Estonia,Elina Nechayeva,La Forza,8,1,6,9,8,245,5,201,102,143,120,81
2018,Denmark,Rasmussen,Higher Ground,9,2,15,5,9,226,5,204,188,38,164,40
2018,Moldova,DoReDos,My Lucky Day,10,2,19,7,10,209,3,235,115,94,153,82
2018,Albania,Eugent Bushpepa,Mall,11,1,12,3,11,184,8,162,58,126,48,114
2018,Lithuania,Ieva Zasimauskaitė,When We're Old,12,1,4,6,12,181,9,119,91,90,62,57
2018,France,Madame Monsieur,Mercy,13,,13,,13,173,,,59,114,,
2018,Bulgaria,Equinox,Bones,14,1,18,10,14,166,7,177,66,100,70,107
2018,Norway,Alexander Rybak,That's How You Write a Song,15,2,7,1,15,144,1,266,84,60,133,133
2018,Ireland,Ryan O'Shaughnessy,Together,16,1,24,18,16,136,6,179,62,74,108,71
2018,Ukraine,Mélovin,Under the Ladder,17,2,1,18,17,130,6,179,119,11,114,65
2018,Netherlands,Waylon,Outlaw In 'Em,18,2,23,8,18,121,7,174,32,89,47,127
2018,Serbia,Sanja Ilić & Balkanika,Nova Deca,19,2,10,3,19,113,9,117,75,38,72,45
2018,Australia,Jessica Mauboy,We Got Love,20,2,16,9,20,99,4,212,9,90,82,130
2018,Hungary,AWS,Viszlát Nyár,21,2,21,13,21,93,10,111,65,28,88,23
2018,Slovenia,Lea Sirk,"Hvala, ne!",22,2,3,17,22,64,8,132,23,41,65,67
2018,Spain,Amaia & Alfred,Tu Canción,23,,2,,23,61,,,18,43,,
2018,United Kingdom,SuRie,Storm,24,,9,,24,48,,,25,23,,
2018,Finland,Saara Aalto,Monsters,25,1,17,15,25,46,10,108,23,23,73,35
2018,Portugal,Cláudia Pascoal,O Jardim,26,,8,,26,39,,,18,21,,
2018,Romania,The Humans,Goodbye,27,2,,2,,,11,107,,,40,67
2018,Latvia,Laura Rizzotto,Funny Girl,28,2,,14,,,12,106,,,14,92
2018,Malta,Christabelle,Taboo,29,2,,12,,,13,101,,,8,93
2018,Azerbaijan,Aisel,X My Heart,30,1,,1,,,11,94,,,47,47
2018,Belgium,Sennek,A Matter of Time,31,1,,4,,,12,91,,,20,71
2018,Switzerland,Zibbz,Stones,32,1,,17,,,13,86,,,27,59
2018,Poland,Gromee feat. Lukas Meijer,Light Me Up,33,2,,11,,,14,81,,,60,21
2018,Greece,Yianna Terzi,Oniro Mou,34,1,,14,,,14,81,,,53,28
2018,Armenia,Sevak Khanagyan,Qami,35,1,,16,,,15,79,,,41,38
2018,Russia,Julia Samoylova,I Won't Break,36,2,,6,,,15,65,,,51,14
2018,Belarus,Alekseev,Forever,37,1,,8,,,16,65,,,45,20
2018,Croatia,Franka,Crazy,38,1,,12,,,17,63,,,17,46
2018,Montenegro,Vanja Radovanović,Inje,39,2,,16,,,16,40,,,17,23
2018,San Marino,Jessika feat. Jenifer Brening,Who We Are,40,2,,4,,,17,28,,,14,14
2018,Georgia,Ethno-Jazz Band Iriao,For You,41,2,,10,,,18,24,,,13,11
2018,North Macedonia,Eye Cue,Lost And Found,42,1,,11,,,18,24,,,6,18
2018,Iceland,Ari Ólafsson,Our Choice,43,1,,2,,,19,15,,,0,15
2019,Netherlands,Duncan Laurence,Arcade,1,2,12,16,1,498,1,280,261,237,140,140
2019,Italy,Mahmood,Soldi,2,,22,,2,472,,,253,219,,
2019,Russia,Sergey Lazarev,Scream,3,2,5,13,3,370,6,217,244,126,124,93
2019,Switzerland,Luca Hänni,She Got Me,4,2,24,4,4,364,4,232,212,152,137,95
2019,Sweden,John Lundvik,Too Late for Love,5,2,9,8,5,334,3,238,93,241,88,150
2019,Norway,KEiiNO,Spirit in the Sky,6,2,15,15,6,331,7,210,291,40,170,40
2019,North Macedonia,Tamara Todevska,Proud,7,2,8,17,7,305,2,239,58,247,84,155
2019,Azerbaijan,Chingiz,Truth,8,2,20,18,8,302,5,224,100,202,121,103
2019,Australia,Kate Miller-Heidke,Zero Gravity,9,1,25,12,9,284,1,261,131,153,140,121
2019,Iceland,Hatari,Hatrið mun sigra,10,1,17,13,10,232,3,221,186,46,151,70
2019,Czech Republic,Lake Malawi,Friend of a Friend,11,1,3,6,11,157,2,242,7,150,85,157
2019,Denmark,Leonora,Love Is Forever,12,2,6,7,12,120,10,94,51,69,41,53
2019,Cyprus,Tamta,Replay,13,1,11,1,13,109,9,149,32,77,54,95
2019,Malta,Michela Pace,Chameleon,14,2,1,11,14,107,8,157,20,87,50,107
2019,Slovenia,Zala Kralj & Gašper Šantl,Sebi,15,1,10,5,15,105,6,167,59,46,93,74
2019,France,Bilal Hassani,Roi,16,,21,,16,105,,,38,67,,
2019,Albania,Jonida Maliqi,Ktheju Tokës,17,2,2,14,17,90,9,96,47,43,58,38
2019,Serbia,Nevena Božović,Kruna,18,1,23,9,18,89,7,156,54,35,65,91
2019,San Marino,Serhat,Say Na Na Na,19,1,7,17,19,77,8,150,65,12,124,26
2019,Estonia,Victor Crone,Storm,20,1,18,14,20,76,4,198,48,28,133,65
2019,Greece,Katerine Duska,Better Love,21,1,13,16,21,74,5,185,24,50,54,131
2019,Spain,Miki,La Venda,22,,26,,22,54,,,53,1,,
2019,Israel,Kobi Marimi,Home,23,,14,,23,35,,,35,0,,
2019,Belarus,Zena,Like It,24,1,19,8,24,31,10,122,13,18,44,78
2019,Germany,S!sters,Sister,25,,4,,25,24,,,0,24,,
2019,United Kingdom,Michael Rice,Bigger Than Us,26,,16,,26,11,,,3,8,,
2019,Poland,Tulia,Pali się,27,1,,4,,,11,120,,,60,60
2019,Hungary,Joci Pápai,Az én apám,28,1,,7,,,12,97,,,32,65
2019,Lithuania,Jurij Veklenko,Run with the Lions,29,2,,12,,,11,93,,,77,16
2019,Moldova,Anna Odobescu,Stay,30,2,,3,,,12,85,,,27,58
2019,Belgium,Eliot,Wake Up,31,1,,10,,,13,70,,,20,50
2019,Romania,Ester Peony,On a Sunday,32,2,,6,,,13,71,,,24,47
2019,Georgia,Oto Nemsadze,Keep on Going,33,1,,11,,,14,62,,,33,29
2019,Croatia,Roko,The Dream,34,2,,10,,,14,64,,,38,26
2019,Portugal,Conan Osíris,Telemóveis,35,1,,15,,,15,51,,,43,8
2019,Latvia,Carousel,That Night,36,2,,5,,,15,50,,,13,37
2019,Armenia,Srbuk,Walking Out,37,2,,1,,,16,49,,,23,26
2019,Montenegro,D mol,Heaven,38,1,,2,,,16,46,,,15,31
2019,Finland,Darude feat. Sebastian Rejman,Look Away,39,1,,3,,,17,23,,,14,9
2019,Austria,Pænda,Limits,40,2,,9,,,17,21,,,0,21
2019,Ireland,Sarah McTernan,22,41,2,,2,,,18,16,,,3,13
2020,France,Tom Leeb,The Best in Me,,,,,,,,,,,,
2020,Germany,Ben Dolic,Violent Thing,,,,,,,,,,,,
2020,Italy,Diodato,Fai rumore,,,,,,,,,,,,
2020,Netherlands,Jeangu Macrooy,Grow,,,23,,,,,,,,,
2020,Spain,Blas Cantó,Universo,,,,,,,,,,,,
2020,United Kingdom,James Newman,My Last Breath,,,,,,,,,,,,
2020,Australia,Montaigne,Don't Break Me,,1,,,,,,,,,,
2020,Belarus,VAL,Da vidna,,1,,,,,,,,,,
2020,Ireland,Lesley Roy,Story Of My Life,,1,,,,,,,,,,
2020,Lithuania,The Roop,On Fire,,1,,,,,,,,,,
2020,North Macedonia,Vasil,You,,1,,,,,,,,,,
2020,Russia,Little Big,Uno,,1,,,,,,,,,,
2020,Slovenia,Ana Soklič,Voda,,1,,,,,,,,,,
2020,Sweden,The Mamas,Move,,1,,,,,,,,,,
2020,Azerbaijan,Samira Efendi,Cleopatra,,1,,,,,,,,,,
2020,Belgium,Hooverphonic,Release Me,,1,,,,,,,,,,
2020,Croatia,Damir Kedžo,Divlji vjetre,,1,,,,,,,,,,
2020,Cyprus,Sandro Nicolas,Running,,1,,,,,,,,,,
2020,Israel,Eden Alene,Feker Libi,,1,,,,,,,,,,
2020,Malta,Destiny,All Of My Love,,1,,,,,,,,,,
2020,Norway,Ulrikke Brandstorp,Attention,,1,,,,,,,,,,
2020,Romania,Roxen,Alcohol You,,1,,,,,,,,,,
2020,Ukraine,Go_A,Solovey,,1,,,,,,,,,,
2020,Austria,Vincent Bueno,Alive,,2,,,,,,,,,,
2020,Czech Republic,Benny Cristo,Kemama,,2,,,,,,,,,,
2020,Estonia,Uku Suviste,What Love Is,,2,,,,,,,,,,
2020,Greece,Stefania,Superg!rl​,,2,,,,,,,,,,
2020,Iceland,Daði & Gagnamagnið,Think About Things,,2,,,,,,,,,,
2020,Moldova,Natalia Gordienko,Prison,,2,,,,,,,,,,
2020,Poland,Alicja Szemplińska,Empires,,2,,,,,,,,,,
2020,San Marino,Senhit,Freaky!,,2,,,,,,,,,,
2020,Serbia,Hurricane,Hasta la vista,,2,,,,,,,,,,
2020,Albania,Arilena Ara,Fall From The Sky,,2,,,,,,,,,,
2020,Armenia,Athena Manoukian,Chains On You,,2,,,,,,,,,,
2020,Bulgaria,Victoria,Tears Getting Sober,,2,,,,,,,,,,
2020,Denmark,Ben & Tan,Yes,,2,,,,,,,,,,
2020,Finland,Aksel Kankaanranta,Looking Back,,2,,,,,,,,,,
2020,Georgia,Tornike Kipiani,Take Me As I Am,,2,,,,,,,,,,
2020,Latvia,Samanta Tīna,Still Breathing,,2,,,,,,,,,,
2020,Portugal,Elisa,Medo de sentir,,2,,,,,,,,,,
2020,Switzerland,Gjon's Tears,Répondez-moi,,2,,,,,,,,,,
2021,Italy,M�neskin,Zitti e bouni,1,,24,,1,524,,,318,206,,
2021,France,Barbara Pravi,Viola,2,,20,,2,499,,,251,248,,
2021,Switzerland,Gjon's Tears,Tout l'univers,3,2,11,16,3,432,1,291,165,267,135,156
2021,Iceland,Da�i & Gagnamagni�,10 Years,4,2,12,8,4,378,2,288,180,198,148,148
2021,Ukraine,Go_A,Shum,5,1,19,15,5,364,2,267,267,97,164,103
2021,Finland,Blind Channel,Dark Side,6,2,16,14,6,301,5,234,218,83,150,84
2021,Malta,Destiny,Je me casse,7,1,6,16,7,255,1,325,47,208,151,174
2021,Lithuania,The Roop,Discoteque,8,1,18,1,8,220,4,203,165,55,137,66
2021,Russia,Manizha,Russian Woman,9,1,5,3,9,204,3,225,100,104,108,117
2021,Greece,Stefania,Last Dance,10,2,10,4,10,170,6,184,79,91,80,104
2021,Bulgaria,Victoria,Growing Up Is Getting Old,11,2,17,13,11,170,3,250,30,140,101,149
2021,Portugal,The Black Mamba,Love Is on My Side,12,2,7,12,12,153,4,239,27,126,111,128
2021,Moldova,Natalia Gordienko,Sugar,13,2,14,7,13,115,7,179,62,53,123,56
2021,Sweden,Tusse,Voices,14,1,25,4,14,109,7,142,63,46,51,91
2021,Serbia,Hurricane,Loco Loco,15,2,8,9,15,102,8,124,82,20,68,56
2021,Cyprus,Elena Tsagrinou,El Diablo,16,1,1,8,16,94,6,170,44,50,78,92
2021,Israel,Eden Alene,Set Me Free,17,1,3,12,17,93,5,192,20,73,93,99
2021,Norway,Tix,Fallen Angel,18,1,22,9,18,75,10,115,60,15,77,38
2021,Belgium,Hooverphonic,The Wrong Place,19,1,4,11,19,74,9,117,3,71,47,70
2021,Azerbaijan,Efendi,Mata Hari,20,1,21,14,20,65,8,138,33,32,91,47
2021,Albania,Anxhela Peristeri,Karma,21,2,2,11,21,57,10,112,35,22,38,74
2021,San Marino,Senhit,Adrenalina,22,2,26,1,22,50,9,118,13,37,42,76
2021,Netherlands,Jeangu Macrooy,Birth of a New Age,23,,23,,23,11,,,0,11,,
